list,block,block_label,trial_in_block,trial_uid,task,word,word_type,correct_tone,condition,gender,audio,item_role,is_repeat,repeat_condition,original_task,first_exposure_id,correct_response,correct_pos,heard_tone_pos,heard_tone,opt0_text,opt0_role,opt0_tone,opt1_text,opt1_role,opt1_tone,opt2_text,opt2_role,opt2_tone,opt3_text,opt3_role,opt3_tone,opt4_text,opt4_role,opt4_tone,opt5_text,opt5_role,opt5_tone
1,1,Task3_FreeRecall,14,L1_B1_14,3,二话不说,single_bu,4.0,Err_T1_C2,F,resources/bu_single/二话不说_F_Err_T1_C2.mp3,fixed,0,,,,二话不说,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,15,L1_B1_15,3,执迷不悟,single_bu,2.0,Err_T1_C4,F,resources/bu_single/执迷不悟_F_Err_T1_C4.mp3,fixed,0,,,,执迷不悟,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,16,L1_B1_16,3,一言以蔽之,single_card_t4,4.0,Err_T1_Intra_C2,F,resources/yi_cardinal_T4/一言以蔽之_F_Err_T1_Intra_C2.mp3,fixed,0,,,,一言以蔽之,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,17,L1_B1_17,3,一步一回头,double_yi,2;4,Err_T1_Inter_C1,F,resources/yi_double/一步一回头_F_Err_T1_Inter_C1.mp3,fixed,0,,,,一步一回头,,,T1,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,18,L1_B1_18,3,有过之无不及,single_bu,4.0,Cor,M,resources/bu_single/有过之无不及_M_Cor.mp3,fixed,0,,,,有过之无不及,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,19,L1_B1_19,3,爱答不理,single_bu,4.0,Err_T1_C2,M,resources/bu_single/爱答不理_M_Err_T1_C2.mp3,fixed,0,,,,爱答不理,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,20,L1_B1_20,3,战无不胜,single_bu,2.0,Err_T1_C4,M,resources/bu_single/战无不胜_M_Err_T1_C4.mp3,fixed,0,,,,战无不胜,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,21,L1_B1_21,3,单一,single_ord_t1,1.0,Err_T1_Inter_C2,M,resources/yi_ordinal_T1/单一_M_Err_T1_Inter_C2.mp3,fixed,0,,,,单一,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,22,L1_B1_22,3,不得不,double_bu,4;4,Err_T2_C2,F,resources/bu_double/不得不_F_Err_T2_C2.mp3,fixed,0,,,,不得不,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,23,L1_B1_23,3,不了了之,single_bu,4.0,Err_T1_C2,F,resources/bu_single/不了了之_F_Err_T1_C2.mp3,fixed,0,,,,不了了之,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,24,L1_B1_24,3,截然不同,single_bu,4.0,Err_T1_C2,M,resources/bu_single/截然不同_M_Err_T1_C2.mp3,fixed,0,,,,截然不同,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,25,L1_B1_25,3,全然不顾,single_bu,2.0,Err_T1_C4,M,resources/bu_single/全然不顾_M_Err_T1_C4.mp3,fixed,0,,,,全然不顾,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,26,L1_B1_26,3,一石激起千层浪,single_card_t4,4.0,Err_T1_Intra_C2,M,resources/yi_cardinal_T4/一石激起千层浪_M_Err_T1_Intra_C2.mp3,fixed,0,,,,一石激起千层浪,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,27,L1_B1_27,3,表里如一,single_ord_t1,1.0,Cor,F,resources/yi_ordinal_T1/表里如一_F_Cor.mp3,fixed,0,,,,表里如一,,,T1,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,28,L1_B1_28,3,不费吹灰之力,single_bu,2.0,Err_T1_C4,M,resources/bu_single/不费吹灰之力_M_Err_T1_C4.mp3,fixed,0,,,,不费吹灰之力,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,29,L1_B1_29,3,以防万一,single_ord_t1,1.0,Err_T1_Inter_C4,M,resources/yi_ordinal_T1/以防万一_M_Err_T1_Inter_C4.mp3,fixed,0,,,,以防万一,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,30,L1_B1_30,3,不差钱,single_bu,2.0,Err_T1_C4,F,resources/bu_single/不差钱_F_Err_T1_C4.mp3,fixed,0,,,,不差钱,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,31,L1_B1_31,3,格格不入,single_bu,2.0,Cor,F,resources/bu_single/格格不入_F_Cor.mp3,fixed,0,,,,格格不入,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,32,L1_B1_32,3,不能,single_bu,4.0,Cor,F,resources/bu_single/不能_F_Cor.mp3,fixed,0,,,,不能,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,33,L1_B1_33,3,不可能,single_bu,4.0,Err_T1_C2,F,resources/bu_single/不可能_F_Err_T1_C2.mp3,fixed,0,,,,不可能,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,34,L1_B1_34,3,说不过去,single_bu,2.0,Err_T1_C4,F,resources/bu_single/说不过去_F_Err_T1_C4.mp3,fixed,0,,,,说不过去,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,35,L1_B1_35,3,不假思索,single_bu,4.0,Err_T1_C2,F,resources/bu_single/不假思索_F_Err_T1_C2.mp3,fixed,0,,,,不假思索,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,36,L1_B1_36,3,一百八十度,single_card_t4,4.0,Err_T1_Intra_C2,M,resources/yi_cardinal_T4/一百八十度_M_Err_T1_Intra_C2.mp3,fixed,0,,,,一百八十度,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,37,L1_B1_37,3,决一死战,single_ord_t1,1.0,Cor,M,resources/yi_ordinal_T1/决一死战_M_Cor.mp3,fixed,0,,,,决一死战,,,T1,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,38,L1_B1_38,3,一年一度,double_yi,4;2,Err_T2_Intra_C4,F,resources/yi_double/一年一度_F_Err_T2_Intra_C4.mp3,fixed,0,,,,一年一度,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,39,L1_B1_39,3,不知者无罪,single_bu,4.0,Cor,F,resources/bu_single/不知者无罪_F_Cor.mp3,fixed,0,,,,不知者无罪,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,40,L1_B1_40,3,马不停蹄,single_bu,4.0,Err_T1_C2,M,resources/bu_single/马不停蹄_M_Err_T1_C2.mp3,fixed,0,,,,马不停蹄,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,41,L1_B1_41,3,一棍子打死,single_card_t2,2.0,Err_T1_Intra_C4,F,resources/yi_cardinal_T2/一棍子打死_F_Err_T1_Intra_C4.mp3,fixed,0,,,,一棍子打死,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,42,L1_B1_42,3,万一,single_ord_t1,1.0,Err_T1_Inter_C2,F,resources/yi_ordinal_T1/万一_F_Err_T1_Inter_C2.mp3,fixed,0,,,,万一,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,43,L1_B1_43,3,一岁一枯荣,double_yi,2;4,Err_T2_Intra_C2,F,resources/yi_double/一岁一枯荣_F_Err_T2_Intra_C2.mp3,fixed,0,,,,一岁一枯荣,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,44,L1_B1_44,3,无孔不入,single_bu,2.0,Cor,M,resources/bu_single/无孔不入_M_Cor.mp3,fixed,0,,,,无孔不入,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,45,L1_B1_45,3,不知天高地厚,single_bu,4.0,Cor,M,resources/bu_single/不知天高地厚_M_Cor.mp3,fixed,0,,,,不知天高地厚,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,46,L1_B1_46,3,不劳而获,single_bu,4.0,Err_T1_C2,F,resources/bu_single/不劳而获_F_Err_T1_C2.mp3,fixed,0,,,,不劳而获,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,47,L1_B1_47,3,一锤子买卖,single_card_t4,4.0,Cor,M,resources/yi_cardinal_T4/一锤子买卖_M_Cor.mp3,fixed,0,,,,一锤子买卖,,,T4,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,48,L1_B1_48,3,一报还一报,double_yi,2;2,Err_T1T2_Inter_C1C1,M,resources/yi_double/一报还一报_M_Err_T1T2_Inter_C1C1.mp3,fixed,0,,,,一报还一报,,,,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,49,L1_B1_49,3,一物降一物,double_yi,2;2,Err_T1_Inter_C1,M,resources/yi_double/一物降一物_M_Err_T1_Inter_C1.mp3,fixed,0,,,,一物降一物,,,T1,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,50,L1_B1_50,3,一山不容二虎,single_card_t4,4.0,Err_T1_Intra_C2,M,resources/yi_cardinal_T4/一山不容二虎_M_Err_T1_Intra_C2.mp3,fixed,0,,,,一山不容二虎,,,T2,,,,,,,,,,,,,,,,,,
1,1,Task3_FreeRecall,51,L1_B1_51,3,不撞南墙不回头,double_bu,2;4,Cor,M,resources/bu_double/不撞南墙不回头_M_Cor.mp3,fixed,0,,,,不撞南墙不回头,,,2;4,,,,,,,,,,,,,,,,,,
1,2,Task1,1,L1_B2_1,1,一些,single_card_t4,4.0,Cor,M,resources/yi_cardinal_T4/一些_M_Cor.mp3,bridge,0,,,,一些,5,5,T4,姨些,intra,T2,蚁些,lure,T3,伊些,inter,T1,医些,inter,T1,宜些,intra,T2,一些,correct,T4
1,2,Task1,2,L1_B2_2,1,专一性,single_ord_t1,1.0,Cor,F,resources/yi_ordinal_T1/专一性_F_Cor.mp3,bridge,0,,,,专一性,2,2,T1,专义性,inter,T4,专宜性,inter,T2,专一性,correct,T1,专益性,inter,T4,专蚁性,lure,T3,专仪性,inter,T2
1,2,Task1,3,L1_B2_3,1,倒打一耙,single_card_t4,4.0,Err_T1_Inter_C1,M,resources/yi_cardinal_T4/倒打一耙_M_Err_T1_Inter_C1.mp3,fixed,0,,,,倒打一耙,4,0,T1,倒打医耙,inter,T1,倒打姨耙,intra,T2,倒打伊耙,inter,T1,倒打已耙,lure,T3,倒打一耙,correct,T4,倒打宜耙,intra,T2
1,2,Task1,4,L1_B2_4,1,一站式,single_card_t2,2.0,Cor,F,resources/yi_cardinal_T2/一站式_F_Cor.mp3,bridge,0,,,,一站式,3,3,T2,依站式,inter,T1,益站式,intra,T4,蚁站式,lure,T3,一站式,correct,T2,医站式,inter,T1,义站式,intra,T4
1,2,Task1,5,L1_B2_5,1,一体化,single_card_t4,4.0,Err_T1_Inter_C1,F,resources/yi_cardinal_T4/一体化_F_Err_T1_Inter_C1.mp3,bridge,0,,,,一体化,0,1,T1,一体化,correct,T4,医体化,inter,T1,椅体化,lure,T3,仪体化,intra,T2,依体化,inter,T1,姨体化,intra,T2
1,2,Task1,6,L1_B2_6,1,一同,single_card_t4,4.0,Err_T1_Intra_C2,F,resources/yi_cardinal_T4/一同_F_Err_T1_Intra_C2.mp3,bridge,0,,,,一同,0,4,T2,一同,correct,T4,已同,lure,T3,伊同,inter,T1,依同,inter,T1,姨同,intra,T2,宜同,intra,T2
1,2,Task1,7,L1_B2_7,1,一帆风顺,single_card_t4,4.0,Cor,F,resources/yi_cardinal_T4/一帆风顺_F_Cor.mp3,fixed,0,,,,一帆风顺,3,3,T4,仪帆风顺,intra,T2,蚁帆风顺,lure,T3,姨帆风顺,intra,T2,一帆风顺,correct,T4,医帆风顺,inter,T1,伊帆风顺,inter,T1
1,2,Task1,8,L1_B2_8,1,一目了然,single_card_t2,2.0,Err_T1_Inter_C1,M,resources/yi_cardinal_T2/一目了然_M_Err_T1_Inter_C1.mp3,fixed,0,,,,一目了然,1,0,T1,医目了然,inter,T1,一目了然,correct,T2,义目了然,intra,T4,益目了然,intra,T4,已目了然,lure,T3,伊目了然,inter,T1
1,2,Task1,9,L1_B2_9,1,一望无际,single_card_t2,2.0,Err_T1_Intra_C4,F,resources/yi_cardinal_T2/一望无际_F_Err_T1_Intra_C4.mp3,fixed,0,,,,一望无际,5,3,T4,依望无际,inter,T1,椅望无际,lure,T3,医望无际,inter,T1,益望无际,intra,T4,艺望无际,intra,T4,一望无际,correct,T2
1,2,Task1,10,L1_B2_10,1,一旦,single_card_t2,2.0,Err_T1_Inter_C1,M,resources/yi_cardinal_T2/一旦_M_Err_T1_Inter_C1.mp3,bridge,0,,,,一旦,3,4,T1,益旦,intra,T4,义旦,intra,T4,已旦,lure,T3,一旦,correct,T2,依旦,inter,T1,伊旦,inter,T1
1,2,Task1,11,L1_B2_11,1,一窍不通,single_card_t2,2.0,Cor,M,resources/yi_cardinal_T2/一窍不通_M_Cor.mp3,fixed,0,,,,一窍不通,3,3,T2,义窍不通,intra,T4,伊窍不通,inter,T1,已窍不通,lure,T3,一窍不通,correct,T2,艺窍不通,intra,T4,医窍不通,inter,T1
1,2,Task1,12,L1_B2_12,1,逐一核对,single_ord_t1,1.0,Err_T1_Inter_C2,M,resources/yi_ordinal_T1/逐一核对_M_Err_T1_Inter_C2.mp3,fixed,0,,,,逐一核对,4,1,T2,逐义核对,inter,T4,逐宜核对,inter,T2,逐椅核对,lure,T3,逐仪核对,inter,T2,逐一核对,correct,T1,逐益核对,inter,T4
1,2,Task1,13,L1_B2_13,1,一瞬间,single_card_t2,2.0,Cor,F,resources/yi_cardinal_T2/一瞬间_F_Cor.mp3,bridge,0,,,,一瞬间,1,1,T2,益瞬间,intra,T4,一瞬间,correct,T2,蚁瞬间,lure,T3,医瞬间,inter,T1,依瞬间,inter,T1,艺瞬间,intra,T4
1,2,Task1,14,L1_B2_14,1,一言为定,single_card_t4,4.0,Err_T1_Inter_C1,M,resources/yi_cardinal_T4/一言为定_M_Err_T1_Inter_C1.mp3,fixed,0,,,,一言为定,5,0,T1,依言为定,inter,T1,医言为定,inter,T1,蚁言为定,lure,T3,仪言为定,intra,T2,宜言为定,intra,T2,一言为定,correct,T4
1,2,Task1,15,L1_B2_15,1,大吃一惊,single_card_t4,4.0,Err_T1_Intra_C2,M,resources/yi_cardinal_T4/大吃一惊_M_Err_T1_Intra_C2.mp3,fixed,0,,,,大吃一惊,4,0,T2,大吃宜惊,intra,T2,大吃已惊,lure,T3,大吃伊惊,inter,T1,大吃医惊,inter,T1,大吃一惊,correct,T4,大吃姨惊,intra,T2
1,2,Task1,16,L1_B2_16,1,万里挑一,single_ord_t1,1.0,Cor,F,resources/yi_ordinal_T1/万里挑一_F_Cor.mp3,fixed,0,,,,万里挑一,2,2,T1,万里挑益,inter,T4,万里挑宜,inter,T2,万里挑一,correct,T1,万里挑姨,inter,T2,万里挑艺,inter,T4,万里挑已,lure,T3
1,2,Task1,17,L1_B2_17,1,一见钟情,single_card_t2,2.0,Err_T1_Intra_C4,M,resources/yi_cardinal_T2/一见钟情_M_Err_T1_Intra_C4.mp3,fixed,0,,,,一见钟情,0,4,T4,一见钟情,correct,T2,已见钟情,lure,T3,伊见钟情,inter,T1,医见钟情,inter,T1,义见钟情,intra,T4,艺见钟情,intra,T4
1,2,Task1,18,L1_B2_18,1,独一无二,single_ord_t1,1.0,Err_T1_Inter_C2,M,resources/yi_ordinal_T1/独一无二_M_Err_T1_Inter_C2.mp3,fixed,0,,,,独一无二,3,2,T2,独蚁无二,lure,T3,独艺无二,inter,T4,独宜无二,inter,T2,独一无二,correct,T1,独姨无二,inter,T2,独益无二,inter,T4
1,2,Task1,19,L1_B2_19,1,一贯,single_card_t2,2.0,Err_T1_Intra_C4,F,resources/yi_cardinal_T2/一贯_F_Err_T1_Intra_C4.mp3,bridge,0,,,,一贯,3,0,T4,益贯,intra,T4,艺贯,intra,T4,伊贯,inter,T1,一贯,correct,T2,已贯,lure,T3,医贯,inter,T1
1,2,Task1,20,L1_B2_20,1,统一着装,single_ord_t1,1.0,Err_T1_Inter_C4,F,resources/yi_ordinal_T1/统一着装_F_Err_T1_Inter_C4.mp3,fixed,0,,,,统一着装,0,4,T4,统一着装,correct,T1,统仪着装,inter,T2,统宜着装,inter,T2,统椅着装,lure,T3,统义着装,inter,T4,统益着装,inter,T4
1,2,Task1,21,L1_B2_21,1,一般般,single_card_t4,4.0,Err_T1_Inter_C1,F,resources/yi_cardinal_T4/一般般_F_Err_T1_Inter_C1.mp3,bridge,0,,,,一般般,1,3,T1,蚁般般,lure,T3,一般般,correct,T4,仪般般,intra,T2,医般般,inter,T1,姨般般,intra,T2,依般般,inter,T1
1,2,Task1,22,L1_B2_22,1,一举两得,single_card_t4,4.0,Cor,F,resources/yi_cardinal_T4/一举两得_F_Cor.mp3,fixed,0,,,,一举两得,0,0,T4,一举两得,correct,T4,医举两得,inter,T1,椅举两得,lure,T3,仪举两得,intra,T2,宜举两得,intra,T2,依举两得,inter,T1
1,2,Task1,23,L1_B2_23,1,第一手,single_ord_t1,1.0,Err_T1_Inter_C4,F,resources/yi_ordinal_T1/第一手_F_Err_T1_Inter_C4.mp3,bridge,0,,,,第一手,1,0,T4,第义手,inter,T4,第一手,correct,T1,第益手,inter,T4,第椅手,lure,T3,第宜手,inter,T2,第仪手,inter,T2
1,2,Task1,24,L1_B2_24,1,一条龙,single_card_t4,4.0,Err_T1_Inter_C1,F,resources/yi_cardinal_T4/一条龙_F_Err_T1_Inter_C1.mp3,bridge,0,,,,一条龙,4,1,T1,姨条龙,intra,T2,伊条龙,inter,T1,仪条龙,intra,T2,依条龙,inter,T1,一条龙,correct,T4,已条龙,lure,T3
1,2,Task1,25,L1_B2_25,1,一动不动,single_card_t2,2.0,Err_T1_Inter_C1,F,resources/yi_cardinal_T2/一动不动_F_Err_T1_Inter_C1.mp3,fixed,0,,,,一动不动,2,0,T1,伊动不动,inter,T1,艺动不动,intra,T4,一动不动,correct,T2,义动不动,intra,T4,已动不动,lure,T3,依动不动,inter,T1
1,2,Task1,26,L1_B2_26,1,一下子,single_card_t2,2.0,Cor,M,resources/yi_cardinal_T2/一下子_M_Cor.mp3,bridge,0,,,,一下子,2,2,T2,益下子,intra,T4,椅下子,lure,T3,一下子,correct,T2,依下子,inter,T1,艺下子,intra,T4,医下子,inter,T1
1,2,Task1,27,L1_B2_27,1,一己之力,single_card_t4,4.0,Err_T1_Intra_C2,F,resources/yi_cardinal_T4/一己之力_F_Err_T1_Intra_C2.mp3,fixed,0,,,,一己之力,3,0,T2,宜己之力,intra,T2,姨己之力,intra,T2,椅己之力,lure,T3,一己之力,correct,T4,依己之力,inter,T1,医己之力,inter,T1
1,2,Task1,28,L1_B2_28,1,专一,single_ord_t1,1.0,Err_T1_Inter_C4,M,resources/yi_ordinal_T1/专一_M_Err_T1_Inter_C4.mp3,fixed,0,,,,专一,2,3,T4,专仪,inter,T2,专椅,lure,T3,专一,correct,T1,专艺,inter,T4,专义,inter,T4,专姨,inter,T2
1,2,Task1,29,L1_B2_29,1,单一化,single_ord_t1,1.0,Err_T1_Inter_C2,F,resources/yi_ordinal_T1/单一化_F_Err_T1_Inter_C2.mp3,bridge,0,,,,单一化,1,0,T2,单姨化,inter,T2,单一化,correct,T1,单宜化,inter,T2,单义化,inter,T4,单艺化,inter,T4,单已化,lure,T3
1,2,Task1,30,L1_B2_30,1,一切,single_card_t2,2.0,Err_T1_Intra_C4,F,resources/yi_cardinal_T2/一切_F_Err_T1_Intra_C4.mp3,bridge,0,,,,一切,2,3,T4,医切,inter,T1,伊切,inter,T1,一切,correct,T2,艺切,intra,T4,益切,intra,T4,蚁切,lure,T3
1,2,Task1,31,L1_B2_31,1,逐一,single_ord_t1,1.0,Err_T1_Inter_C4,F,resources/yi_ordinal_T1/逐一_F_Err_T1_Inter_C4.mp3,fixed,0,,,,逐一,3,4,T4,逐已,lure,T3,逐姨,inter,T2,逐仪,inter,T2,逐一,correct,T1,逐义,inter,T4,逐艺,inter,T4
1,2,Task1,32,L1_B2_32,1,一路,single_card_t2,2.0,Cor,F,resources/yi_cardinal_T2/一路_F_Cor.mp3,bridge,0,,,,一路,0,0,T2,一路,correct,T2,医路,inter,T1,义路,intra,T4,蚁路,lure,T3,艺路,intra,T4,依路,inter,T1
1,2,Task1,33,L1_B2_33,1,唯一,single_ord_t1,1.0,Cor,M,resources/yi_ordinal_T1/唯一_M_Cor.mp3,fixed,0,,,,唯一,0,0,T1,唯一,correct,T1,唯蚁,lure,T3,唯益,inter,T4,唯仪,inter,T2,唯宜,inter,T2,唯义,inter,T4
1,2,Task1,34,L1_B2_34,1,一般,single_card_t4,4.0,Cor,F,resources/yi_cardinal_T4/一般_F_Cor.mp3,bridge,0,,,,一般,3,3,T4,依般,inter,T1,伊般,inter,T1,椅般,lure,T3,一般,correct,T4,姨般,intra,T2,宜般,intra,T2
1,2,Task1,35,L1_B2_35,1,一度,single_card_t2,2.0,Err_T1_Intra_C4,M,resources/yi_cardinal_T2/一度_M_Err_T1_Intra_C4.mp3,bridge,0,,,,一度,1,2,T4,依度,inter,T1,一度,correct,T2,益度,intra,T4,艺度,intra,T4,医度,inter,T1,椅度,lure,T3
1,2,Task1,36,L1_B2_36,1,别具一格,single_card_t4,4.0,Err_T1_Intra_C2,M,resources/yi_cardinal_T4/别具一格_M_Err_T1_Intra_C2.mp3,fixed,0,,,,别具一格,2,1,T2,别具伊格,inter,T1,别具仪格,intra,T2,别具一格,correct,T4,别具宜格,intra,T2,别具依格,inter,T1,别具蚁格,lure,T3
1,2,Task1,37,L1_B2_37,1,一针见血,single_card_t4,4.0,Err_T1_Intra_C2,F,resources/yi_cardinal_T4/一针见血_F_Err_T1_Intra_C2.mp3,fixed,0,,,,一针见血,4,0,T2,姨针见血,intra,T2,已针见血,lure,T3,宜针见血,intra,T2,伊针见血,inter,T1,一针见血,correct,T4,医针见血,inter,T1
1,2,Task1,38,L1_B2_38,1,一口,single_card_t4,4.0,Err_T1_Inter_C1,M,resources/yi_cardinal_T4/一口_M_Err_T1_Inter_C1.mp3,bridge,0,,,,一口,5,1,T1,姨口,intra,T2,依口,inter,T1,医口,inter,T1,椅口,lure,T3,仪口,intra,T2,一口,correct,T4
1,2,Task1,39,L1_B2_39,1,一大早,single_card_t2,2.0,Err_T1_Intra_C4,F,resources/yi_cardinal_T2/一大早_F_Err_T1_Intra_C4.mp3,bridge,0,,,,一大早,4,0,T4,益大早,intra,T4,依大早,inter,T1,义大早,intra,T4,椅大早,lure,T3,一大早,correct,T2,医大早,inter,T1
1,2,Task1,40,L1_B2_40,1,一年,single_card_t4,4.0,Err_T1_Intra_C2,F,resources/yi_cardinal_T4/一年_F_Err_T1_Intra_C2.mp3,bridge,0,,,,一年,5,0,T2,宜年,intra,T2,依年,inter,T1,伊年,inter,T1,已年,lure,T3,仪年,intra,T2,一年,correct,T4
1,2,Task1,41,L1_B2_41,1,一技之长,single_card_t2,2.0,Cor,F,resources/yi_cardinal_T2/一技之长_F_Cor.mp3,fixed,0,,,,一技之长,4,4,T2,伊技之长,inter,T1,义技之长,intra,T4,艺技之长,intra,T4,依技之长,inter,T1,一技之长,correct,T2,已技之长,lure,T3
1,2,Task1,42,L1_B2_42,1,数一数二,single_ord_t1,1.0,Err_T1_Inter_C2,M,resources/yi_ordinal_T1/数一数二_M_Err_T1_Inter_C2.mp3,fixed,0,,,,数一数二,0,1,T2,数一数二,correct,T1,数宜数二,inter,T2,数艺数二,inter,T4,数蚁数二,lure,T3,数益数二,inter,T4,数仪数二,inter,T2
